bm_unit,national_grid_bm_unit,settlement_date,settlement_period,time_from_utc,time_to_utc,level_from_mw,level_to_mw
T_BRBEO-1,BRBEO-1,2026-09-08,36,2026-09-08T16:30:00Z,2026-09-08T17:00:00Z,231,234
T_BRBEO-1,BRBEO-1,2026-09-08,37,2026-09-08T17:00:00Z,2026-09-08T17:30:00Z,225,226
T_BRBEO-1,BRBEO-1,2026-09-08,38,2026-09-08T17:30:00Z,2026-09-08T18:00:00Z,226,227
T_BRBEO-1,BRBEO-1,2026-09-08,39,2026-09-08T18:00:00Z,2026-09-08T18:30:00Z,227,228
T_BRBEO-1,BRBEO-1,2026-09-08,40,2026-09-08T18:30:00Z,2026-09-08T19:00:00Z,228,229
T_BRBEO-1,BRBEO-1,2026-09-08,41,2026-09-08T19:00:00Z,2026-09-08T19:30:00Z,229,229
T_BRBEO-1,BRBEO-1,2026-09-08,42,2026-09-08T19:30:00Z,2026-09-08T20:00:00Z,229,230
T_BRBEO-1,BRBEO-1,2026-09-08,43,2026-09-08T20:00:00Z,2026-09-08T20:30:00Z,229,229
T_BRBEO-1,BRBEO-1,2026-09-08,44,2026-09-08T20:30:00Z,2026-09-08T21:00:00Z,229,230
T_BRBEO-1,BRBEO-1,2026-09-08,45,2026-09-08T21:00:00Z,2026-09-08T21:30:00Z,229,229
T_BRBEO-1,BRBEO-1,2026-09-08,46,2026-09-08T21:30:00Z,2026-09-08T22:00:00Z,229,229
T_BRBEO-1,BRBEO-1,2026-09-08,47,2026-09-08T22:00:00Z,2026-09-08T22:30:00Z,228,228
T_BRBEO-1,BRBEO-1,2026-09-08,48,2026-09-08T22:30:00Z,2026-09-08T23:00:00Z,228,228
T_BROCW-1,BROCW-1,2026-09-08,1,2026-09-07T23:00:00Z,2026-09-07T23:30:00Z,22,24
T_BROCW-1,BROCW-1,2026-09-08,2,2026-09-07T23:30:00Z,2026-09-08T00:00:00Z,24,27
T_BROCW-1,BROCW-1,2026-09-08,3,2026-09-08T00:00:00Z,2026-09-08T00:30:00Z,27,27
T_BROCW-1,BROCW-1,2026-09-08,4,2026-09-08T00:30:00Z,2026-09-08T01:00:00Z,27,27
T_BROCW-1,BROCW-1,2026-09-08,5,2026-09-08T01:00:00Z,2026-09-08T01:30:00Z,27,28
T_BROCW-1,BROCW-1,2026-09-08,6,2026-09-08T01:30:00Z,2026-09-08T02:00:00Z,28,28
T_BROCW-1,BROCW-1,2026-09-08,7,2026-09-08T02:00:00Z,2026-09-08T02:30:00Z,28,28
