bm_unit,national_grid_bm_unit,eic,bm_unit_name,lead_party,bm_unit_type,generation_capacity_mw,gsp_group_id,north_of_b6,side_of_b6,side_grade,side_basis,queryable,bid_paid_gbp_015
,LYNNW-1,,,,,,,False,unknown,-,no graded evidence,False,
,MLRGW-1,,,,,,,False,unknown,-,no graded evidence,False,
,NORHW-1,,,,,,,False,unknown,-,no graded evidence,False,
,NOVAW-1,48W00000NOVAW-1M,,,,,,False,unknown,-,no graded evidence,False,
,NOVAW-2,48W00000NOVAW-2K,,,,,,False,unknown,-,no graded evidence,False,
,PRSTW-1,,,,,,,False,unknown,-,no graded evidence,False,
,PTLDW-1,,,,,,,False,unknown,-,no graded evidence,False,
,RHYFW-1,48W00000RHYFW-1X,,,,,,False,unknown,-,no graded evidence,False,
,SANDW-1,48W00000SANDW-12,,,,,,False,unknown,-,no graded evidence,False,
,SANQW-2,,,,,,,False,unknown,-,no graded evidence,False,
,SANQW-3,,,,,,,False,unknown,-,no graded evidence,False,
,SOFOW-11,,,,,,,False,unknown,-,no graded evidence,False,
,SOFOW-12,,,,,,,False,unknown,-,no graded evidence,False,
,SOFOW-21,,,,,,,False,unknown,-,no graded evidence,False,
,SOFOW-22,,,,,,,False,unknown,-,no graded evidence,False,
,STPSW-1,,,,,,,False,unknown,-,no graded evidence,False,
,TANGW-1,48W00000TANGW-1G,,,,,,False,unknown,-,no graded evidence,False,
,TMWLW-1,,,,,,,False,unknown,-,no graded evidence,False,
,WETHW-1,,,,,,,False,unknown,-,no graded evidence,False,
,WTGRW-1,,,,,,,False,unknown,-,no graded evidence,False,
